company_name,website,representative,employees,founded,capital,type_url
株式会社ＣＹＬＬＥＮＧＥ 大阪本社,https://www.cyllenge.co.jp/,代表取締役社長 見植 直美,81名（2025年5月時点）,1980年7月（創業1968年1月）,"3,000万円",https://type.jp/job-company/49682/
シン・エナジー株式会社,,,140人（2026年4月現在）,1996年12月,"50,000,000円",https://type.jp/job-company/49685/
株式会社サンデリックフーズ 大阪本社,https://sundelic.com/,代表取締役 尾道泰一,323名（2025年4月時点）,昭和62年4月（創業 昭和47年）,"9,950万円",https://type.jp/job-company/49698/
有限会社新郷運輸,https://www.shingo-transport.co.jp/,代表取締役社長 赤城 義隆,33名（令和6年3月現在）,1972年8月4日,"5,000,000円",https://type.jp/job-company/49737/
ＣｅｎｔＦｌｙＧａｔｅ株式会社,https://centflygate.co.jp/,代表取締役 門倉 栄,平均年齢／35歳（20代3割・30代5割・40代2割）,,"1,000万円（2026年7月増資）",https://type.jp/job-company/49753/
さつき工業協同組合,https://www.satuki.or.jp/,代表理事 髙野 理恵,中途入社者の割合／100％,1984年（昭和59年）4月18日,,https://type.jp/job-company/49775/
株式会社ジーシーシー 東京本社,https://www.gcc.co.jp/,代表取締役社長 町田 敦,754名（2026年2月現在）,昭和40年12月27日（1965年）,"9,000万円",https://type.jp/job-company/49780/
シェアフル株式会社,,代表取締役社長 横井 聡,,2019年1月,1億円（資本準備金含む）,https://type.jp/job-company/49788/
株式会社ジンアース【東証グロース上場グループ】,https://www.jinearth.co.jp/,代表 川﨑 雅史,140名（2026年5月現在）,2021年 5月19日,1000万円,https://type.jp/job-company/49794/
株式会社山栄/株式会社スリーエー【合同募集】,https://www.three-a-shibuya.com/three-a-terrace/corpinfo,山本ヒカル,4名,1978年2月1日,"9,000万円",https://type.jp/job-company/49815/
社会福祉法人さつき福祉会,https://satuki-fuku.sakura.ne.jp/,鴨井健二,574名（2025年8月時点）,1982年,,https://type.jp/job-company/49839/
株式会社ZERO,https://ze-r0.jp/,代表取締役 内田 圭一,41名（SES稼働 月間約150名）,2010年（平成22年）12月1日,"3,000,000円",https://type.jp/job-company/49843/
埼玉県商工会連合会,https://www.syokoukai.or.jp/,会長 江原 貞治,,1961年,,https://type.jp/job-company/49845/
株式会社ＣｙｂｅｒＺ,https://cyber-z.co.jp/,代表取締役社長 CEO 山内 隆裕,,2009年4月1日,"4,000万円",https://type.jp/job-company/49851/
株式会社サーベイリサーチセンター,https://www.surece.co.jp/,代表取締役 藤澤 士朗,社員：364名 契約スタッフ：532名（2026年2月1日現在）／調査員数：約4.8万人,1975（昭和50）年2月,"6,000万円",https://type.jp/job-company/49862/
株式会社Ｓｈａｒｅｄ Ｖａｌｕｅ,https://sharedvalue.jp/,代表取締役 石原 振一郎,,2022年9月,"1,000万円",https://type.jp/job-company/49863/
サイテック株式会社,https://www.sytec92.com/company/,代表取締役 永井元章,,1992年10月1日設立,1000万円,https://type.jp/job-company/49867/
Ｓｔａｐｌｅ Ｅｎｔｅｒｔａｉｎｍｅｎｔ株式会社,http://www.staple-e.co.jp/news,代表取締役社長：植田 慎也,,2020年2月,,https://type.jp/job-company/49888/
株式会社小学館ミュージック＆デジタルエンタテイメント【ポジションマッチ登録】,https://www.smde.co.jp/,代表取締役社長 浅井認,119名（男性68名 女性51名）※2026年4月1日時点,1998年8月3日,1000万円,https://type.jp/job-company/49932/
株式会社三経ビルディング,http://www.sankeibuilding.co.jp/company.htm,木山 貴英,約20名（グループ全体：約50名）,昭和53年4月,1億円,https://type.jp/job-company/49975/
特許庁,https://www.jpo.go.jp/news/saiyo/other/ninkitsuki-tokkyo/2026saiyo_shinsakanho.html,特許庁長官 河西 康之,2797名（令和８年度定員）,1885年,,https://type.jp/job-company/4209/
大同生命保険株式会社,https://www.daido-life-saiyo.com/,代表取締役社長 藤田 広行,"7,229名（2025年度末現在）",昭和22年7月14日（相互会社としての法人設立日）,"1,100億円",https://type.jp/job-company/4365/
テー・ピー・エスサービス株式会社,https://tpss.co.jp/,代表取締役 藤井 義昭,400名,1978年3月,9500万円,https://type.jp/job-company/5559/
東建コーポレーション株式会社【東証プライム・名証プレミア上場】,https://www.token.co.jp/,代表取締役社長兼CEO 左右田 善猛,"4,909名（2025/06/01現在）",1976年7月,48億円,https://type.jp/job-company/8020/
有限責任監査法人トーマツ,http://www.deloitte.com/jp,代表執行役 大久保 孝一,,1968年5月,"1,239百万円（2025年11月末日現在）",https://type.jp/job-company/14847/
株式会社テレビ朝日メディアプレックス,https://www.mediaplex.co.jp,代表取締役 澤 將晃（さわ まさあき）,平均年齢／35歳 ※2022年3月31日時点,平成12年2月9日,"9,200万円",https://type.jp/job-company/16196/
テクマトリックス株式会社,http://www.techmatrix.co.jp,代表取締役社長 矢井 隆晴,"1,738名（25年3月末現在）",1984年8月30日,"12億9,812万円",https://type.jp/job-company/17379/
株式会社デジタルガレージ,http://www.garage.co.jp/ja/,代表取締役グループCEO 林 郁,,1995年8月17日,"7,888百万円（2025年3月期）",https://type.jp/job-company/18048/
トレンダーズ株式会社,http://www.trenders.co.jp/,会長：岡本 伊久男（おかもと いくお） 社長：黒川 涼子（くろかわ りょうこ）,連結：198名（2024年12月末現在）,2000年4月,"6億2,975万円（2024年12月末現在）",https://type.jp/job-company/19781/
株式会社電通【ポジションマッチ登録】,,,,1901年（明治34年）7月1日,100億円,https://type.jp/job-company/20108/
大宝商事株式会社,https://taihoh.co.jp/,代表者 大寶 弘,14名（役員除く）,1967年10月25日,1000万円,https://type.jp/job-company/20315/
有限責任監査法人トーマツ【ポジションマッチ登録】,http://www.deloitte.com/jp,代表執行役 大久保 孝一,"6,241名（2026年2月末日現在）",1968年5月,"1,241百万円（2026年2月末日現在）",https://type.jp/job-company/20375/
株式会社ダブルスタンダード 【東証プライム上場】,https://double-std.com/,代表取締役 福永 康寛,84名（2026年6月末日時点）,2012年6月6日,263百万円（2023年3月31日現在）,https://type.jp/job-company/21411/
株式会社トーコー,http://www.toko-corp.co.jp/,代表取締役社長 山田直造,691名（2026年3月末現在）,1988年7月25日,4000万円,https://type.jp/job-company/25085/
鷹ノ台ドライビングスクール株式会社,https://www.takanodai-ds.jp/,小野尾 光,65名,1963年,,https://type.jp/job-company/27037/
寺田倉庫株式会社,https://www.terrada.co.jp/ja/,代表取締役社長 寺田 航平,168（2025年4月時点）,1950（昭和25）年10月,1億円,https://type.jp/job-company/27223/
株式会社トライネット,https://www.trinet.co.jp/,代表取締役 川崎 賢一,60名,1994年3月,1000万円,https://type.jp/job-company/27703/
株式会社トライアンフ,https://www.triumph.jp,代表取締役社長 日向 正嗣,134名(2026年6月現在),2003年8月27日,1000万円,https://type.jp/job-company/30554/
株式会社高萩自工,http://www.takahagi.info/,緑川 理恵,10名（企業全体）,平成30年5月 ★有限会社高萩自工東京支店から独立しました！,,https://type.jp/job-company/31301/
大樹生命保険株式会社 東京支社 丸の内統括営業部,https://www.taiju-life.co.jp/,代表取締役社長／原口 達哉,"10,857名（うち営業職員 6,856名）(2025年度末現在)",1927年3月,"1,672億円",https://type.jp/job-company/31648/
株式会社 特別警備保障【東証プライム市場上場 セントラル警備保障株式会社グループ】,https://tokkei.com/,代表取締役社長 菅野 秀一,311名（2026年3月末）,1969年1月31日,9600万円,https://type.jp/job-company/32038/
テクニカルブレイン株式会社【ヒロセグループ】,http://www.tecb.co.jp/,代表取締役 金谷 竜美,30名,1986年5月,"1,000万",https://type.jp/job-company/33386/
株式会社ＴＹＬ,https://pet-tyl.co.jp/,代表取締役社長 金児 将平,315名 ※2026年1月31日時点（非正規含む）,2017年8月1日,"225,124,800円 ※資本準備金含む",https://type.jp/job-company/33473/
株式会社田代運輸,http://tashiro-transport.jp/,代表取締役社長 田代 耕司,130名,1973年7月,"3,055万円",https://type.jp/job-company/34055/
東京海上日動システムズ株式会社,https://www.tmn-systems.jp/,代表取締役社長 原田 晋,"1,736名（男性1,160名、女性576名）(2025年4月1日現在）",1983年9月,"5,000万円（東京海上日動火災保険全額出資）",https://type.jp/job-company/34260/
トライアロー株式会社 北海道支店,https://www.tri-arrow.co.jp/,代表取締役 保坂 幸治,1000名（2025年12月現在）※北海道支店は180名,1979年(昭和54年)2月,"8,000万円",https://type.jp/job-company/34608/
豊玉タクシー株式会社,https://www.toyotamataxi.com/,髙内 啓祐,300名,昭和35年9月5日,1000万円,https://type.jp/job-company/34719/
東建コーポレーション株式会社 採用課【東証プライム・名証プレミア上場企業】,https://www.token.co.jp/,代表取締役社長兼CEO 左右田 善猛,"4,849名（パート社員含む）／グループ社員数5,388名（2024年4月1日）",1976年7月,48億円,https://type.jp/job-company/34943/
株式会社チューブライディング,https://www.tuberiding.co.jp/,代表取締役会長 鶴岡 友和 代表取締役社長 川野 志穂,13名,2021年2月1日,"3億1,000万円",https://type.jp/job-company/36146/
株式会社電通マクロミルインサイト,https://www.dm-insight.jp/,代表取締役社長 眞鍋尚行,250名（2026年4月1日時点・役員を除く）,1967年11月1日,"3億6,016万円",https://type.jp/job-company/36352/
株式会社テクノラボ,https://ssl.tlabo.com/,代表取締役 上田 正夫,41名 (2025年4月現在),1989年6月,"5,000万円",https://type.jp/job-company/36405/
株式会社ティー・アンド・エス・システムズ,https://t-s-systems.com/,代表取締役 田村 現,30名（2025年3月）,2007年6月22日,"9,000,000円",https://type.jp/job-company/36709/
株式会社テクニケーションシード,https://www.technication.co.jp/,代表取締役会長 高橋 俊介／代表取締役 西田 拳,807名(2026年9月現在),2019年11月1日,1億円,https://type.jp/job-company/37822/
株式会社トゥインクル,https://www.twk.co.jp/,代表取締役社長 鈴木 伸且,418名（2025年3月31日現在）,1996年2月,"5,000万円",https://type.jp/job-company/40314/
株式会社ツクルバ【東証グロース上場企業】,https://tsukuruba.com/,代表取締役CEO 野村駿太郎,304人 （2025年7月31日付）,2011年8月,,https://type.jp/job-company/41330/
株式会社ＤＮＰファシリティサービス【東証プライム上場グループ企業】,https://www.dnp.co.jp/group/dnp-facilityservices/,代表取締役社長 川村 雅彦,638名（2026年4月現在）,1999年4月,3億5000万円,https://type.jp/job-company/41810/
株式会社大松運輸,https://www.t-daimatsu.com/,代表取締役 仲松 秀樹,130名,昭和55年9月3日（創業は昭和47年2月）,1000万円,https://type.jp/job-company/42273/
株式会社トウペ【東証プライム上場グループ】,https://www.tohpe.co.jp/,代表取締役社長 河野 信治,257名（2024年4月1日現在）,大正4年12月21日（1915年）,4億9000万円,https://type.jp/job-company/43036/
株式会社TRAVER,https://traver.jp/,代表取締役 川島 保典,30名（2024年11月現在）,2016年,100万円,https://type.jp/job-company/43739/
Delight株式会社,https://delight-x.co.jp/,山中 翔太,,2024年1月,"3,000,000円",https://type.jp/job-company/44134/
第工株式会社,https://www.dk-c.co.jp/,代表：増永 陽一,約230名 ※2026年4月1日時点,1986年10月30日,"2億円 ※グループ全体：5億3,450万円",https://type.jp/job-company/44485/
ＤＡＩＷＡ ＣＹＣＬＥ株式会社【東証グロース上場】,https://www.daiwa-cycle.co.jp/,代表取締役 涌本 宜央,"1,023名（2025年1月31日現在）",1990年8月（創業：1980年1月）,"5億6,221万円（2026年1月31日現在）",https://type.jp/job-company/44739/
合同会社ダイク・カンパニー,https://daiku-company.com/,工藤 郁,25名,2015年4月,1710万円,https://type.jp/job-company/44885/
株式会社ダイニングイノベーション,https://dining-innovation.com/ja/,代表取締役社長 松宮 秀丈,1000名（2025年9月現在）,2013年,1億円,https://type.jp/job-company/45128/
トヨタ・コニック・プロ株式会社,https://toyotaconiq.co.jp/,代表取締役社長 武田 淳一郎,670名（うち受入出向者50名）※2026年4月1日現在,創立：1949年3月 設立：2021年1月,"5,000万円",https://type.jp/job-company/45321/
株式会社デニーズジャパン,https://www.dennys.co.jp/dennys-japan/,代表取締役社長 小松 雅美,"11305名（正社員713名、パート社員10,592名） 2026年2月末現在",2007年1月10日,30億円,https://type.jp/job-company/45646/
toBE Tech株式会社,https://www.tobetech.jp/,百瀬 卓也,270名（2026年8月現在）,2022年7月28日,,https://type.jp/job-company/45684/
株式会社東証コンピュータシステム,https://www.tcs.co.jp/corporate/outline/,代表取締役社長 竹林 義修,338名（2025年1月1日現在）,1961年6月（昭和36年）,4億円（主要株主：富士ソフト、東京証券取引所）,https://type.jp/job-company/46154/
株式会社東上セレモサービス,https://tohjo.com/,代表取締役社長 𠮷原礼子,320名（2025年12月時点）,1973年4月5日,"5,000万円",https://type.jp/job-company/46286/
株式会社帝国警備新社,https://teikokukeibi.co.jp/,代表取締役 木村 浩司,,平成10年7月21日,"3,000万円",https://type.jp/job-company/46457/
株式会社トゥインクル SOサービス部,,代表取締役社長 鈴木 伸且,418名（2025年3月31日現在）,1996年2月,"5,000万円",https://type.jp/job-company/46620/
株式会社トゥインクル SSサービス部,,代表取締役社長 鈴木 伸且,418名（2025年3月31日現在）,1996年2月,"5,000万円",https://type.jp/job-company/46622/
TDCX Japan株式会社,https://www.tdcx.com/ja/,代表取締役 Laurent Junique,589名（2024年8月時点）,2016年11月,5200万円,https://type.jp/job-company/46676/
ディパーチャーズ・ジャパン株式会社,https://departures-japan.com/,代表取締役 木村 光希,149名（2026年5月時点）,2015年10月,3000万円,https://type.jp/job-company/46868/
株式会社Ｔｒｉｖｅ,https://www.triveinc.com/,代表取締役社長 兼 最高経営責任者（CEO） 岡本 俊介,70名,2018年3月1日,"2,000万円",https://type.jp/job-company/47095/
株式会社デジタルノマド,https://digital-nomad.co.jp/,山田 亜喜夫,85名,2023年,300万円,https://type.jp/job-company/47735/
ドルビックスコンサルティング株式会社,https://www.dolbix.com/,代表取締役社長CEO 菅 隆之,,2020年12月21日,740百万円,https://type.jp/job-company/47786/
株式会社Tech Lab,https://techlab-inc.co.jp/,代表取締役 守田 りく,115名（業務委託を含む）,2023年12月,"1,000万円",https://type.jp/job-company/48040/
株式会社TENGA,https://tenga-group.com/,松本 光一,257名（2026年3月現在）,2005年3月25日,4300万円,https://type.jp/job-company/48071/
テクバン株式会社,https://www.techvan.co.jp/,代表取締役 髙松 睦夫,1910名（2026年）,1996年2月29日,100百万円,https://type.jp/job-company/48103/
株式会社Ｄｅｘａｌｌ,https://dexall.co.jp/,代表取締役社長 太田 雅也,105名,2021年2月,2000万円,https://type.jp/job-company/48107/
株式会社東京システムリサーチ,https://www.tsrweb.co.jp/,代表取締役社長 玉川 義人,186名（2026年4月 男性118名 女性68名）（グループ総数 215名）,1982年5月20日,"8,000万円（2026年4月現在）",https://type.jp/job-company/48307/
株式会社ＴＯＫＩＵＭ,https://corp.tokium.jp/,代表取締役 黒﨑 賢一,,2012年6月26日,1億円,https://type.jp/job-company/48348/
株式会社ＴＯＫＩＵＭ【ポジションマッチ登録】,https://corp.tokium.jp/,代表取締役 黒﨑 賢一,,2012年6月26日,1億円,https://type.jp/job-company/48349/
株式会社トヨフク,,佐久間 貴敬,,,,https://type.jp/job-company/48493/
株式会社トライ・ハード,http://www.try-hard.co.jp/,代表取締役 木村 哲郎,平均年齢／平均年齢／32歳,2003年7月,"3,000万円",https://type.jp/job-company/48585/
株式会社テクノプロ・コンストラクション,https://www.technopro-construction.com/,代表取締役社長 田中 靖雄,3599名（2025年6月末時点）※グループ連結：3万41名,2008年11月（創業1960年）,1億1000万円,https://type.jp/job-company/48763/
株式会社T2R,https://t2r-inc.com/,代表取締役 田平 聖仁,60名,2021年4月,,https://type.jp/job-company/48806/
株式会社トレンドクリエイト,https://trendcreate.jp/,橋本 祐佑,,2021年8月,,https://type.jp/job-company/48894/
株式会社ドリーム・アーツ,https://www.dreamarts.co.jp/,代表取締役 社長 山本孝昭,,1996年（平成8年）12月,5億6919万2000円,https://type.jp/job-company/48959/
株式会社ドリーム・アーツ【ポジションマッチ登録】,https://www.dreamarts.co.jp/,代表取締役社長 山本 孝昭,,1996年（平成8年）12月,5億6919万2000円,https://type.jp/job-company/48969/
株式会社TKP 営業本部,https://www.tkp.jp/,代表取締役社長 河野 貴輝,"3,801名（連結 / 2026年2月末時点）※時給社員・パート等臨時雇用者を除く",2005年8月15日,164億円（2026年2月末現在）,https://type.jp/job-company/49011/
株式会社ＤＲＥＡＭ ＰＯＮＹ,https://dream-pony.jp/,代表取締役 一ノ瀬続輝,45名,2024年4月11日,"50,000,000円",https://type.jp/job-company/49021/
Ｄｒｅｓｓ Ｃｏｄｅ株式会社,https://www.dress-code.com/ja,代表取締役 江尻祐樹,40名（2026年4月現在）,2024年9月2日,"1,139,089,000円（資本準備金含む）",https://type.jp/job-company/49052/
株式会社Ｔｅｃｌｏｃｋ,https://www.teclock-group.co.jp/,代表取締役 髙橋 悠路,,2023年2月,1000万円,https://type.jp/job-company/49083/
TKKプラントエンジ株式会社,https://tkkplanteng.co.jp/,代表取締役 飯田 仁志,38名,2021年4月1日,2000万円,https://type.jp/job-company/49113/
東亜商事株式会社,https://www.toashoji.com/,代表取締役会長／小山 喜之,,1956年1月20日,1億円,https://type.jp/job-company/49119/
合同会社デロイト トーマツ,https://www.deloitte.com/jp/ja.html,代表執行役 長川 知太郎／代表執行役 鹿山 真吾,"約12,000名（子会社含む）",2025年12月,300百万円,https://type.jp/job-company/49274/
株式会社ＴＳＯ,https://tso-inc.jp/,代表取締役社長 中屋 仁志,256名,2016年1月,"10,000,000",https://type.jp/job-company/49281/
大和建設株式会社,https://www.daiwa-ken.com/index.html,澤田 隆博,8名,1976年（昭和51年）9月3日,3500万円,https://type.jp/job-company/49290/
株式会社トゥルーエンジニアリングサービス,https://tes-g.jp/,代表取締役社長：今野 晴彦,17名（2025年11月時点）※役員含め全体で19名,2014年6月,"5,000,000 円",https://type.jp/job-company/49304/
株式会社ドゥファイン,https://www.dofine.co.jp/,代表取締役 恩田 謙太郎,340名（2024年7月時点）,1990年6月,5000万円,https://type.jp/job-company/49320/
株式会社タイムクリエイターズ,https://www.time-creators.co.jp/,土田 成相,110名（2026/6現在）,2008年4月,"3,000万円",https://type.jp/job-company/49363/
TGオクトパスエナジー株式会社【オクトパスエナジー／東京ガス合弁会社】,https://octopusenergy.co.jp/,代表取締役社長（CEO） 中上 英尋,140名（2026年6月時点）,2021年1月,7億円,https://type.jp/job-company/49405/
特産エンジニアリング株式会社,https://tek-m.co.jp/,代表取締役 北村 五郎,157名（2026年5月現在）,1976年,5000万円,https://type.jp/job-company/49408/
株式会社ティーテック,https://www.ttec-job.co.jp/,武内 健太郎,,2001年4月,"1,000万円",https://type.jp/job-company/49469/
TECH GUILD株式会社,https://tech-guild.co.jp/,江口 竜二,20名,2022年3月,"5,000,000円",https://type.jp/job-company/49475/
株式会社天然社,https://www.ten-nen-sha.co.jp/,代表取締役 矢野 敏康,,1993年1月4日,6460万円,https://type.jp/job-company/49508/
株式会社テクニコ,,代表取締役 堀 光伸,227名（男性/114名 女性/113名）*令和8年4月1日現在,昭和61年7月24日,"4,000万円",https://type.jp/job-company/49528/
株式会社テックネクスト,https://www.technext.jp/,代表取締役: 鈴木雅人,5名,2025年2月14日,,https://type.jp/job-company/49554/
千葉住設株式会社,https://www.chiba-jusetsu.co.jp/index.html,代表取締役会長 / 左近 正司、代表取締役社長 / 左近 雅美,,1997年4月,"2,000万円",https://type.jp/job-company/49564/
株式会社Ｔｅｃｈ Ｒｅｉｓ,https://techreis.co.jp/ja,下岸 祐太,21人,2019年11月,300万円,https://type.jp/job-company/49571/
（株）所沢中央自動車教習所／（株）南横浜自動車学校／（株）新神戸ドライヴィングスクール【合同募集】,https://smart.driver.co.jp/,代表取締役社長 / 吉村 充司,564名（令和5年5月17日現在）,1965年,4700万円,https://type.jp/job-company/49584/
株式会社ＴＥＮＴＩＡＬ,https://corp.tential.jp/,中西裕太郎,288名（2026年4月時点）,2018年2月6日,9.1億円（2025年11月末時点）,https://type.jp/job-company/49585/
株式会社ＴＹＬ【ポジションマッチ登録】,https://pet-tyl.co.jp/,金児 将平,315名 ※2026年1月31日時点（非正規含む）,2017年8月1日,,https://type.jp/job-company/49612/
株式会社Ｄ＆Ｄ,http://www.danddnetwork.net/,代表取締役社長 椎名 進,38名,2013年5月,1000万円,https://type.jp/job-company/49631/
デザインファースト株式会社,https://designfirst.co.jp/,長堀 泰幸,25名（アルバイト・委託社員含む）,2017年3月,"4,810万円",https://type.jp/job-company/49632/
株式会社テー・エス・イー,https://ltd-tse.co.jp/wp/,代表取締役社長 及川 健弘,96名,1992年5月1日,"1,000万円",https://type.jp/job-company/49645/
ダイレックス株式会社【サンドラッググループ】,https://www.ds-direx.co.jp/,代表取締役会長 貞方 宏司・代表取締役社長 五味 肇,"社員 1,848名、パート 11,204名（ 2026 年 3 月 31 日現在）",平成19年7月9日,"33億6,945万円",https://type.jp/job-company/49707/
株式会社第一興商 本社 【東証プライム上場】,https://www.dkkaraoke.co.jp/,代表取締役社長 保志 忠郊,"当社2,199名／グループ3,694名（2026年3月31日現在）",1973年4月16日,"12,350百万円",https://type.jp/job-company/49749/
東京海上日動あんしん生命保険株式会社 東京第三支社,https://www.tmn-anshin.co.jp/,取締役社長 浅野 收二,"2,513名（2025年3月31日現在）",1996年8月6日,550億円,https://type.jp/job-company/49761/
株式会社富輝コーポレーション,http://tomiteru.ltd/,代表取締役氏名 張 博輝,,2024年2月7日,5000万円,https://type.jp/job-company/49778/
Ｔｅｒｒａ Ｄｒｏｎｅ株式会社,https://terra-drone.net/,代表取締役社長 徳重 徹,単体147名（海外連結624名）,2016年2月,,https://type.jp/job-company/49816/
株式会社Ｔ－ＬＡＢ,https://www.tlab.jp/,有泉正樹,53名 ※グループ合計,令和5年4月13日,"10,000,000円",https://type.jp/job-company/49889/
ディー・エイチ・シー・サービス株式会社 技術部,https://www.dhc-s.co.jp,代表取締役社長 堀江 整,216名（2026年4月時点）,1987年4月1日,4000万円,https://type.jp/job-company/49896/
DIVE IN株式会社,https://divein.co.jp/,代表取締役CEO 打木 翔太,,2024年2月1日,1000万円,https://type.jp/job-company/49907/
テラダ産業株式会社,https://terada-sangyo.co.jp/,代表取締役社長 緑川 順一,110名（2026年4月末時点）,1958年4月（創立：1946年4月）,4200万円,https://type.jp/job-company/49927/
株式会社トリプルアイズ,,片渕 博哉,,2008,"8億7,006万円 （2024年1月5日現在。資本準備金を含む。）",https://type.jp/job-company/49940/
日建リース工業株式会社,http://www.nrg.co.jp/nikkenlease,代表取締役会長 関山 正勝,"約2,250名（2025年9月時点）",1967年（昭和42年）11月,"9,500万円 ※資本金及び剰余金 約330億円",https://type.jp/job-company/4361/
株式会社 日翔テクノ,http://www.nissho-tec.co.jp,代表取締役CEO 河原﨑 広宜,正社員：65名／パートナー（協力会社など）：32名,2007年5月22日,7000万円,https://type.jp/job-company/10190/
日清食品グループ(日清食品株式会社),http://www.nissin.com/jp/,代表取締役社長／安藤 徳隆,"16,509名 (日清食品グループ連結)",2008年10月,251億2200万円（グループ資本金）,https://type.jp/job-company/16812/
ネットチャート株式会社【東証プライム上場企業IIJグループ】,https://www.ncj.co.jp/,代表取締役社長 楠本 和弘,205名,平成18年8月10日,"55,000,000円 （資本準備金：55,000,000円）",https://type.jp/job-company/17075/
日本運行システム株式会社,https://www.n-u-s.co.jp/,代表取締役社長 村山 陽,120名,昭和63年10月18日,"20,000,000円",https://type.jp/job-company/19740/
ニフティ株式会社,https://www.nifty.co.jp/,代表取締役社長 前島 一就,,1986年2月4日,1億円,https://type.jp/job-company/19974/
日本航空株式会社,https://www.jal.com/ja-jp/,鳥取 三津子,"14,627人（2026年3月31日現在）",1951年8月1日,"543,740百万円 *百万円未満切り捨て（2026年3月31日現在）",https://type.jp/job-company/22047/
株式会社ナレッジコミュニケーション,http://www.knowledgecommunication.jp/,代表取締役ＣＥＯ兼ＣＴＯ 奥沢 明,70名（2026年4月時点）,2008年11月（創立2006年5月）,"9,000,000円(自己資本比率100％)",https://type.jp/job-company/22988/
社会保険労務士法人西村社会保険労務士事務所,http://www.nsr-office.com/,代表社員 西村 治彦,200名（男105名・女95名）,1971年,10億円,https://type.jp/job-company/26136/
株式会社日本システムソリューション,http://www.jss-company.co.jp/,代表取締役 杉原 重雄,21名,2003年6月24日,"9,800万円",https://type.jp/job-company/26743/
株式会社野村総合研究所【ポジションマッチ登録】,https://www.nri.com/jp/,代表取締役社長 此本 臣吾,"6,782人（NRIグループ 17,394人） 2023年3月31日現在",創業1965年4月1日,"19,338,400千円",https://type.jp/job-company/30891/
株式会社ニコンシステム,http://www.nikon-sys.co.jp,代表取締役 兼 社長執行役員 小笠原 尚也,525名（2025年4月1日現在）,1986年4月,"5,000万円（株式会社ニコン100%出資）",https://type.jp/job-company/31585/
日本デェイブレイク株式会社,https://ndbnet.co.jp/index.html,代表取締役社長 佐藤一宏,218名（2026年4月）,1976年10月,"5,000万円",https://type.jp/job-company/32025/
なの花交通バス株式会社,https://www.nanohanabus.com/,代表取締役 富田 篤史,73名（令和2年10月1日現在）,平成11年1月,3300万円,https://type.jp/job-company/32941/
株式会社ノースサンド,https://northsand.co.jp/,代表取締役 前田 知紘,"1,525名（2025年7月末時点）",2015年7月1日,47億1700万円,https://type.jp/job-company/34041/
日本交通株式会社 ハイヤー事業部,https://www.nihon-kotsu-recruit.jp/hire/#sec01,代表取締役社長 若林泰治,"14,681人（2025年5月現在、連結）",1945年12月1日（創業：1928年4月）,1億円,https://type.jp/job-company/34326/
成田空港警備株式会社,https://www.narikei.co.jp/,代表取締役 神崎 誠,938名（2026年3月現在） ※警備職793名、うち女性63名、パート1名,1968年2月21日,5700万円,https://type.jp/job-company/35563/
日本アクア開発株式会社,https://www.nihon-aqua.co.jp/,代表取締役 豊島 雄介,42名,1985年5月27日,1500万円,https://type.jp/job-company/36778/
日本交通横浜株式会社,https://nikko-yokohama.net/,代表取締役 齋藤浩二,630名,2014年11月15日（営業開始 1936年9月）,"6,940万円（日本交通グループ1億円／2025年5月現在）",https://type.jp/job-company/37330/
株式会社日本経済新聞社,https://www.nikkei.co.jp/nikkeiinfo/,代表取締役社長 飯田 展久,"3,023人（2025年12月末）",1876年（明治9年）12月2日,25億円,https://type.jp/job-company/39358/
株式会社Necmos,https://www.necmos.jp/career,久保田 泰一郎,110名（2026年7月現在）,2021年1月7日,900万円,https://type.jp/job-company/39428/
ネイバーズ株式会社,https://www.neighborengineers.jp/,執行役会長CEO 寺田 崇,大阪本社 80名 東京支店 70名 名古屋支店 5名 （2025年7月現在）,2020年5月1日（創業 2021年1月1日）,2000万円,https://type.jp/job-company/39913/
株式会社ニコン【ポジションマッチ登録】,https://www.jp.nikon.com/company/corporate/data/,代表取締役 兼 社長執行役員 CEO 大村 泰弘,,1917年（大正6年）7月25日,654億7600万円,https://type.jp/job-company/40251/
日鉄ソリューションズ東日本株式会社,https://www.nssol.nipponsteel.com/east/,代表取締役社長 吉田 勝彦,"1,226名",1986年7月,"9,800万円",https://type.jp/job-company/40323/
日本電気株式会社【ポジションマッチ登録】,https://jpn.nec.com/,取締役 代表執行役社長 兼 CEO：森田 隆之,"単独 22,271名（2025年3月31日現在）連結 104,194名（2025年3月31日現在）",1899年(明治32年)7月17日,"4,278億円 (2025年3月31日現在)",https://type.jp/job-company/41868/
株式会社ネットネイティブ【モデルプレス、女子旅プレス、Mi-glamu】,https://net-native.net,代表取締役 松下 佳憲,63名（2024年9月時点）,2005年,8000万円,https://type.jp/job-company/42089/
日本マテリアル株式会社,https://www.material.co.jp/,代表取締役社長 森田 伸勇,180名,1992年6月,"8,000万円",https://type.jp/job-company/42348/
ｎｏｔａｒｉ株式会社,https://notari.co.jp/,代表取締役 今城 博史,13名,2014年12月,450万円,https://type.jp/job-company/43058/
株式会社Ｎｅｕｅａｌｌｅ,https://www.neuealle.com/,代表取締役 池田 好夏,105名（一部業務委託含む）,2023年5月25日,1000万円,https://type.jp/job-company/44445/
日化設備工業株式会社,https://www.niksc.co.jp/,代表取締役 高本 篤,,1966年,1億円,https://type.jp/job-company/44475/
