company_name,website,representative,employees,founded,capital,type_url
株式会社MS-Japan,https://www.jmsc.co.jp/,代表取締役会長 CEO 有本 隆浩,,1990年4月,5億8700万円（2025年3月時点）,https://type.jp/job-company/39122/
株式会社ＬＢＢ,https://lbb.co.jp,代表取締役 宮本 敦史,8名,2018年6月5日,4000万円 ※累計調達総額3億3600万円,https://type.jp/job-company/39558/
株式会社ウェルスペック,https://wellspec.co.jp/,代表取締役／大崎 竜凱,31人（2025年12月）,2019年3月,"10,000,000円",https://type.jp/job-company/39749/
株式会社アコミック,https://acomic.co.jp/,外石悠真,35名（2026年5月時点）,2020年10月14日,1000万円,https://type.jp/job-company/39894/
株式会社アンドエスティＨＤ,https://www.andst-hd.co.jp/,代表取締役社長 福田 泰生,"正社員／6,936名（2026年2月末時点、グループ合算）",1953年10月22日,"2,660百万円",https://type.jp/job-company/40152/
株式会社ＦＰパートナー 本社【東証プライム上場】,https://fpp.jp/overview/,代表取締役社長／黒木 勉,平均年齢／46.4歳,2009年12月,"19億5,564万円（2026年2月28日時点）",https://type.jp/job-company/40164/
株式会社ＥＳＥＳ,https://eses-inc.jp/,代表取締役社長 白川 聖悟,315名 ※2026年2月時点,2021年10月,"3,000万円",https://type.jp/job-company/40293/
株式会社アールツー,https://www.r2corp.co.jp?rmi=YFrTLLMq2,蒲池 恵太,21名,2016年5月26日,900万円,https://type.jp/job-company/40392/
株式会社ＷｉＺ,https://www.wizwiz.co.jp/,代表取締役／小林 孝道,550名,2012年10月10日,"8,000万円",https://type.jp/job-company/40446/
株式会社エンジョイ,https://en-joy.co.jp,代表取締役 武井 謙一,80名(協力パートナー200名),2013年11月22日,"1,000万円",https://type.jp/job-company/40544/
大原出版株式会社（資格の大原）,,代表取締役 中川 和久,191名（2023年3月現在）,1979年2月,"4,600万円",https://type.jp/job-company/40797/
ＦＰＴコンサルティングジャパン株式会社,https://www.fpt-software.jp/,代表取締役社長 グェン・フゥ・ロン,300 名 (グループ全体：60000名),2019 年 7 月 25 日,7000万,https://type.jp/job-company/41403/
Sテクノロジー株式会社,https://sincerity-trust.com/,代表取締役 金澤 実,54名(2023年10月時点),2007年8月29日,"18,000,000円",https://type.jp/job-company/41794/
株式会社アスパーク,https://www.aspark.co.jp/,代表取締役 吉田 眞教,4903名（2025年4月時点）,2014年1月14日 （創業2005年10月）,5000万円（2020年3月31日現在）,https://type.jp/job-company/41815/
エナジー・ソリューションズ株式会社,https://www.energy-itsol.com/,代表取締役社長 森上 寿生,78名（2025年10月時点）,2010年2月18日,"1億円（資本準備金：4,890万円）",https://type.jp/job-company/41921/
アビームコンサルティング株式会社【ポジションマッチ登録】,https://jp.abeam.com/,代表取締役社長 山田貴博,"8,816名 （2025年4月1日現在 連結）",1981年4月1日,62億円,https://type.jp/job-company/42123/
株式会社Ａｂｙｓｓ Ｂｒａｖｅ Ｃｏｍｐａｎｙ,https://abyssbrave-co.jp/,代表取締役社長 大西 亜登夢,,2023年4月,1000万円,https://type.jp/job-company/42124/
ウィンヴォルブ株式会社,https://winvolve.co.jp/,山本 侑希,,2023年9月25日,2500万円,https://type.jp/job-company/42542/
株式会社HRエイド,http://hraid.co.jp/,代表取締役 田中 豊,80名（2026年7月現在）,2011年6月,2000万円,https://type.jp/job-company/42656/
株式会社Ｍマート【東証グロース上場】,https://www.m-mart.co.jp/,代表取締役社長 村橋孝嶺,61名 (2024年1月31日現在),2000年2月25日,3億1861万9000円,https://type.jp/job-company/42688/
オトロンカーズ株式会社【オートバックスセブングループ】,https://www.otoron.jp/,代表取締役社長 吉武誠一,389名（2026年7月1日時点）,2012年8月8日,5000万円（オートバックスセブン100％出資）,https://type.jp/job-company/42772/
イオンネクストデリバリー株式会社,https://aeonnextdelivery.co.jp/,代表取締役社長 笹本 和也,"1,000名（2026年4月現在）",2022年2月1日,1億円,https://type.jp/job-company/42871/
イリオスター株式会社,https://iliostar.co.jp/,代表取締役社長 木野 一馬,97名（2026年6月時点）,2023年11月13日,2500万円,https://type.jp/job-company/43009/
株式会社OverTech,https://overtech.tokyo/,落合 美幸,28名,2022年3月,300万円,https://type.jp/job-company/43182/
株式会社エムオープランニング,http://mo-plan.net/top.html,代表取締役社長 高橋史生,,2003年5月8日,2000万円,https://type.jp/job-company/43288/
株式会社エイト,https://www.ato-tech.co.jp/,松橋 明彦,,2020年,800万円,https://type.jp/job-company/43810/
株式会社Otaks,https://otaks.jp/,代表取締役 藤谷 宗平,95名（2026年4月時点）,2024年3月15日,2000万円,https://type.jp/job-company/43834/
オルビス株式会社【ポジションマッチ登録】,https://corp.orbis.co.jp/,代表取締役社長 山口 裕絵,"1,051名（2024年12月末現在）",1984年6月,110百万円,https://type.jp/job-company/43841/
株式会社エスアイイー 【東京プロマーケット上場】,https://sie.co.jp/,代表取締役 藤正幸,1330人（2025年12月時点）,2004年6月,3000万円,https://type.jp/job-company/43914/
株式会社ウィシェア,https://weshare.co.jp/,代表取締役 金子 竜也,25名,2015年 10月,2000万円,https://type.jp/job-company/44029/
株式会社アールイコール,https://r-equal.com/,代表取締役／林 鋭大,220名（2026年6月現在）,2017年,500万円,https://type.jp/job-company/44033/
株式会社Ａｃｅｓ,https://www.a-ces.co.jp/,小村 拓也,20名（2026年2月時点）,令和5年11月22日,,https://type.jp/job-company/44040/
アルテンジャパン株式会社,https://www.alten-japan.com/,代表取締役社長 相川 修一,1624名（2026年1月時点）,1985年2月,5000万円,https://type.jp/job-company/44046/
株式会社ｉサポート,https://www.i-spt.com/,代表取締役 岩上 直也,280名（2026年4月時点）,2018年3月,"4,500万円",https://type.jp/job-company/44155/
株式会社AVATAR,https://www.ava-tar.jp,代表者：萩原 洋介 / 土屋 一樹,160名,2023年1月16日,990万円,https://type.jp/job-company/44205/
株式会社AMG Solution,https://amg-solution.jp/,代表取締役 青栁 雄飛,37名（2025年1月時点）,2009年7月,"13,500,000円",https://type.jp/job-company/44226/
NTT西日本株式会社,,代表取締役社長 木上秀則,"約14,000名",平成25年10月1日,1億円,https://type.jp/job-company/44236/
株式会社エンジニアのミカタ,https://engineer-mikata.com/,田代 正義,450名,2020年5月29日,1億円,https://type.jp/job-company/44446/
株式会社エイムズ,https://aims-group.co.jp/,代表取締役 石堂 建一,,2008年4月4日,1000万円,https://type.jp/job-company/44579/
アクサ生命保険株式会社 首都圏第七FA支社(大阪/福岡/つくば/広島/札幌/仙台),https://www.axa.co.jp/,代表取締役社長兼CEO クリストフ・アヴネル,"8,147名（2024年度末）",​2000年3月,​850億円,https://type.jp/job-company/44617/
EMIconsulting株式会社,http://www.emi-consulting.co.jp/,代表取締役社長／嵯峨 英介,,平成23年6月17日,700万円,https://type.jp/job-company/44696/
株式会社アドコミ,https://adcomi.co.jp/,代表取締役 折原 潤,平均年齢／34歳,2021年10月1日,,https://type.jp/job-company/44780/
株式会社エンジニアファースト,https://engineer-first.co.jp/,代表取締役 飯田 志賢,120名,2023年1月,500万円,https://type.jp/job-company/44887/
株式会社ＵＬＴＩ‐ＭＥ,https://ulti-me.ltd/,代表取締役 小山 雄太郎,750名(2026年8月時点/ホールディングス含む),2022年,3000万円,https://type.jp/job-company/45045/
株式会社AgilityShare,https://agility-share.co.jp,西村 大樹,17名,2022年3月1日,1000万円,https://type.jp/job-company/45074/
株式会社エクシードキャリア,http://exceedcareer.co.jp/,代表取締役会長 嘉 康一／取締役社長 中園 康裕,400名 ※グループ全体：1400名,2017年,4000万円,https://type.jp/job-company/45180/
ＡＬＳＯＫ東京株式会社【東証プライム上場グループ】,https://www.tokyo.alsok.co.jp/,代表取締役社長 熊﨑 善夫,"1,041名（令和5年3月末日時点）",1972年6月15日,"3,000万円",https://type.jp/job-company/45325/
イージス・ワークス株式会社,,代表取締役 長 裕康（おさ ひろやす）,平均年齢／35歳,,100万円,https://type.jp/job-company/45605/
株式会社エスプリフォート,https://www.esprit-fort.co.jp/index.html,代表取締役 福島 徹,80人（グループ連結）,2001年8月1日,"5,000万円",https://type.jp/job-company/45756/
アクストリア株式会社【東証グロース上場グループ】,https://axtria.co.jp/,代表取締役社長 森 博和,154名（2026年4月時点）,2006年8月16日,"3,750万円",https://type.jp/job-company/45759/
ａｕコマース＆ライフ株式会社,https://www.au-cl.co.jp/,代表取締役社長 桑田 祐二,,2010年10月18日,13億3540万円（資本準備金を含む）,https://type.jp/job-company/45826/
株式会社大塚商会【ポジションマッチ登録】,https://www.otsuka-shokai.co.jp/,代表取締役社長 大塚 裕司,"従業員数 8,287名（連結子会社を含めた従業員数 10,079名）＊2025年末日",1961年7月17日（1961年12月13日、株式会社として登記）,"10,374,851,000円",https://type.jp/job-company/45852/
